===Table.A===
A.id,post_title,post_body,publication_time,comment_count
A-0,Stardrops taste like your favorite thing! What do they taste like to you?,,20 hr. ago,
A-1,Girlfriend discovered Stardew. How long until i get her back?,,19 days ago,
A-2,Holy massive melons (cat for scale),,50 min. ago,22
A-3,Fresh start optimized for mushroom logs instead of crops,,4 min. ago,1
A-4,4 Maple trees = A goblet,,5 days ago,205
A-5,can someone tell me what the door in haleys room lead to??,,6 hr. ago,
A-6,This made me happy,,1 hr. ago,5
A-7,Got my mom into Stardew in 2020. She just hit year 200,Achievement Get!,16 days ago,
A-8,This Pains me,,11 hr. ago,59
A-9,Haley shines in the sunlight~,,4 days ago,
A-10,Stardew Valley/Pelican Town faces a zombie apocalypse ala Resident Evil~ What are the fates of each citizen? Who is surviving?,,15 hr. ago,345
A-11,Do games like Stardew help your mental health? (Grad survey),https://www.surveymonkey.com/r/6RVBTLS,13 min. ago,0
A-12,"Hi, long time no see! Here's Robin.",,21 days ago,
A-13,Year 5 and still dealing with this racoon!!,,14 hr. ago,56
A-14,Name a Stardew character who suffered more than Maru's design and fail miserably.,,7 days ago,655
A-15,Happy Egg Hunting,,7 hr. ago,3
A-16,Drew sandy a while back and was told to put it here too!,,3 hr. ago,
A-17,Why do i keep getting sap and not resin?,,7 days ago,238
A-18,Apparently…,Apparently I was in Willy’s way when he wanted to go to his fishing spot 😭,15 hr. ago,58
A-19,I met CA as Penny at the Honolulu concert!,,15 days ago,124

===Table.B===
A.ref,comment_text,comment_time,commenter
A-0,"Is Shane like, okay?",19h ago,Immediate_Song4279
A-0,I prefer my head canon that he loves chickens too much to eat them and this unsettled me,18h ago,NatureCat_
A-0,"""Shh, don't worry Charlie...if I eat you, we'll be together forever!"" Shane says while preparing the cleaver.",17h ago,Nukalixir
A-0,No. But he will be.,19h ago,LordRocky
A-0,This provoked the same reaction in me that happens when you see a full body picture of the muppets,18h ago,lemonadevahibes
A-0,"Yeah idk why but whenever I add a body to a portrait, some people react like they just saw a horrifying cosmic entity.
I take it as a compliment!",17h ago,UnluckyUnderwear
A-0,,20h ago,UnluckyUnderwear
A-0,"I gotcha, friend! :D",19h ago,KellyJoyRuntBunny
A-0,Thank you!!!!!,19h ago,UnluckyUnderwear
A-0,My starfruit will hopefully taste like Elliotts dumptruck,18h ago (Edited 16h ago),Icy_Skin_7590
A-0,I was hoping people would notice 🥹,18h ago,UnluckyUnderwear
A-0,Packing heat in the front AND in the back.,18h ago,peskypsittacine
A-0,,13h ago,DangIt_MoonMoon
A-0,Damn Elliot is caked up😭,18h ago,use_me_mistresss
A-0,"I did my best to make every character look as faithful to the game as possible…
Except Elliott.
It’s my headcanon that Elliott has the juiciest booty in Pelican Town.
I have absolutely no evidence or logic to back this up!",18h ago,UnluckyUnderwear
A-0,Real,18h ago,Jaded-Jellyfish-597
A-0,"Idk why, but the unnecessary closeup of Clint saying “they taste like feet” got a really good laugh out of me",19h ago,Luxray2000
A-0,,18h ago,MermaiderMissy
A-0,,18h ago,KaisrKane
A-0,"I don't know what a peaceful day to myself with zero responsibility tastes like, but that's what my Stardrop would taste like.",19h ago,Doru-kun
A-0,My first playthrough I put 'penguins' and was HORRIFIED when my farmer mentioned the taste reminds her of them..,18h ago,xDarleenxx3
A-0,"Elliot was really funny, then Vincent got me, and then Clint hahahaha 😂 Brilliant work.",19h ago,CharieRarie
A-0,Elliot carrying a BAKERY back there,18h ago,UwU-OnlyMes
A-0,"Me:
Damn... this tastes like ass.",19h ago,KaozUnbound
A-0,"Mine always taste like ""James"". Though, I'm not a cannibal, so I don't actually know what my husband tastes like.",18h ago,JeannieBugg
A-0,Unrelated but tell your gf that her braid game is stellar,19d ago,Wassersammler
A-0,"i am in shock at how much hair this girl has.
i've never seen a braid this thick EVER",19d ago,Lazy_Basket6819
A-0,you could moor a boat with that,19d ago,dminus
A-0,It looks well aerated and fluffy like a nice brioche.,19d ago,FiercelyApatheticLad
A-0,"Sometimes she asks me to braid it as a ""challenge"" because i work as a baker. But i'll tell ya, braiding dough and braiding hair is so not the same thing.",19d ago,_Mumrik
A-0,I just looked at the ciabatta you posted on your profile and that looks amazing too 😭 both of you are lucky,19d ago,Wassersammler
A-0,My first thought on the thumbnail was “is someone simultaneously playing Stardew and cosplaying Leah?”,19d ago,nihiltres
A-0,"I know this isn't relevant, but how could your girlfriend have that much of hair!!!!!!!!!! Her hair is THICK!!!!! I'M JEALOUS!!!!! (back to the topic, join her to play together!!!)",19d ago,Alexxx9319
A-0,"Yeah, its pretty great! She grows it out and donates it actually! She have donated it three times and it takes about 3-4 years for it to grow the proper length",19d ago,_Mumrik
A-0,"Awwwwww isn't she a gorgeous person! 🥰You have to tell her that someone on the other side of the world really jealous of her hair and she's too mad to handle the jealousy so it makes her just eat 1 more muffin to calm her down🤣and hope your gf takes her time with the game, have great fun in game!!!!!",19d ago,Alexxx9319
A-0,"I love that we're all in awe over her hair and poor OP is like ""but I haven't seen her in 3 weeks, will I ever get her back?"" And we're all ""omg her hair is so gorgeous!, stardew? What about it, look at her hair!""",19d ago,ZoominAlong
A-0,You can join her for multi-player fun instead 😛,19d ago,Bee_st_
A-0,Hopefully she lets me join 😅 I dont wanna intrude on her fun just yet,19d ago,_Mumrik
A-0,was looking for this,19d ago,mothspiderr
A-0,"good luck
this game is way more addictive than it looks",19d ago,bloodywormgoddess
A-0,I remember I had 75 hours of playtime after the first 5 days,19d ago,bland_soup
A-0,Look at that braid and plaid shirt. It's too late. She is Stardew now.,19d ago,papierdoll
A-0,Proabaly never,19d ago,UltraSloth9
A-0,you lost her forever unfortunately...,19d ago,Lucky_Thought2
A-0,"My dude, that woman has an industrial strength braid....
Impressive",19d ago,SeanyDay
A-0,Probs in a good few months... Until she discovers modding. Then it's never,19d ago,Deceasedpenguin7
A-0,About 500+ hours.,19d ago,Honorsheets
A-0,She is LEAH! Her hair game is incredible,19d ago,Maleficent-Stormbee
A-0,"Harvesting them with an axe will give you between 15 and 21 regular quality melons.
If you don't want to harvest one or both of them they will remain indefinitely as a decoration, until such time as you decide to harvest them.
P.S your cat looks genuinely discombobulated at the occurrence of the giant crops.",50m ago,Occidentally20
A-0,Sweet thank you,50m ago,nutty3554
A-0,"Thank you for cat tax. Was not expecting that, and I'm sick af with Covid, and it made me smile. 🥺❤️",45m ago,smileplease91
A-0,"Hope you get better soon,having that sucks. Been there done that😔",24m ago,Holiday_Regular9794
A-0,"Aww, thank you. ❤️ Day 3, and I feel like death, but at least my fever has broken!",23m ago,smileplease91
A-0,I’m happy I could do a service,44m ago,nutty3554
A-0,At first I didn’t think the melons were that big but the cat for scale really helped,39m ago,freckle_thief
A-0,He does a good job as a measure of scale,36m ago,nutty3554
A-0,I didn't see that there was a second picture at first and was looking around for a pixel kitty somewhere on the farm lol,41m ago,Ace-Redditor
A-0,They got all of us😂,23m ago,Holiday_Regular9794
A-0,"How does that happen?? New farmer here, who just got to summer 12",19m ago,Subject-Ad674
A-0,Honestly I don’t know I just woke up to them like this,1m ago,nutty3554
A-0,Cat for scale 😂😂,36m ago,Sea_Reporter8348
A-0,size… rougly one cat head with a few hundred pixels in size… lol,30m ago,LindenTom250
A-0,I leave mine. I have a whole Collection of giant fruits :-},50m ago,IaMm1N3
A-0,The cat for scale😂😂😂😂😂😂😂😂,24m ago,Holiday_Regular9794
A-0,I was looking intently for that cat before I saw there were two pictures.,26m ago,NoAcanthocephala7034
A-0,"I read it as ""cat for sale""",33m ago,Blueberry_Shayoka
A-0,Leave them. Giant crops don't rot. Let your melons just sit there as a permanent reminder that you have achieved peak farming. Flex on the whole valley.,39m ago,Aestryx47
A-0,I love your big two Melons 😍,26m ago,veloziri
A-0,Cat also seems to be in shock over the voluptuous harvest!,4m ago,NeonPandaPoof
A-0,Took me way too long to realize there was a second pic… I was looking for your farm cat for wayyyy too long,5m ago,FalseEstimate
A-0,Why does your shirt make you look like a bare chested man with nips 🤣,29m ago,UndeadBuggalo
